dataset_name,role_in_paper,source_repository,source_url_or_doi,uci_id,target_label,redistribution_note
H1-Easy,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
H1-Medium,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
H1-Hard,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
H2-Easy,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
H2-Medium,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
H2-Hard,Synthetic benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
Control-Balanced,Synthetic control benchmark,Project generator,N/A - generated by included project code,N/A,Known simulated cluster label,Generated CSV included in this package
Heart Disease,Primary real benchmark,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/45/heart+disease,45,Binarized disease status: 0 versus >0,Use official UCI source or regenerate processed data with included script
Credit Approval,Primary real benchmark,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/27/credit+approval,27,Application approval class,Use official UCI source or regenerate processed data with included script
Adult,Primary real benchmark,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/2/adult,2,Income class <=50K versus >50K,Use official UCI source or regenerate processed data with included script
Bank Marketing,Primary real benchmark,UCI Machine Learning Repository,https://archive.ics.uci.edu/dataset/222/bank+marketing,222,Term-deposit subscription yes/no,Use official UCI source or regenerate processed data with included script
